Protein, P-value, TAU_Tissue
P08581,1.21e-7,0.46
Q96EZ4,1.54e-7,0.81
Q12929,3.33e-7,0.24
Q96MN9,4.02e-7,0.88
O00629,1.03e-6,0.47
O60353,1.20e-6,0.28
Q14210,1.94e-6,0.79
Q9NQW6,2.00e-6,0.76
Q9Y5U4,2.19e-6,0.32
Q8N2F6,2.49e-6,0.15
O00755,3.03e-6,0.83
O14757,3.10e-6,0.62
P09001,3.51e-6,0.11
Q16787,3.58e-6,0.40
Q86X83,3.69e-6,0.17
Q96JP5,3.74e-6,0.27
O43570,3.80e-6,0.58
Q00534,3.86e-6,0.56
Q8IVF2,4.05e-6,0.57
P78504,4.10e-6,0.27
Q9H0H5,4.12e-6,0.48
P06493,4.15e-6,0.58
P20248,4.43e-6,0.65
Q9BY21,4.62e-6,0.76
Q8NFJ5,4.63e-6,0.59
Q86UY5,4.99e-6,0.84
O43353,5.00e-6,0.34
P18564,5.03e-6,0.63
Q8WYA1,5.29e-6,0.64
P53816,5.58e-6,0.38
Q9BQE3,5.64e-6,0.31
P36952,5.71e-6,0.76
Q8IXU6,5.92e-6,0.46
Q9UL19,6.26e-6,0.32
Q9H239,6.28e-6,0.50
Q9BY44,6.57e-6,0.12
Q96AT9,7.00e-6,0.10
Q96RQ1,7.02e-6,0.12
Q9BYG0,7.23e-6,0.51
P00338,8.09e-6,0.23
O95373,8.38e-6,0.25
P07355,8.47e-6,0.23
Q96FF9,8.72e-6,0.73
O75436,9.18e-6,0.11
P68431,9.25e-6,0.59
O95239,9.44e-6,0.77
Q15398,9.94e-6,0.79
P17301,1.02e-5,0.45
Q9Y6X1,1.03e-5,0.24
Q96FX8,1.05e-5,0.49
P08779,1.09e-5,0.79
Q92572,1.13e-5,0.21
Q06190,1.14e-5,0.63
Q8IWR1,1.15e-5,0.61
Q6SJ93,1.17e-5,0.75
Q96EA4,1.19e-5,0.51
P01135,1.20e-5,0.51
P63104,1.20e-5,0.18
Q9UGI8,1.20e-5,0.37
Q96B01,1.22e-5,0.68
Q13535,1.23e-5,0.38
P35367,1.27e-5,0.52
P21589,1.32e-5,0.43
P32926,1.43e-5,0.86
Q96H22,1.46e-5,0.54
Q96GX8,1.54e-5,0.53
P82650,1.55e-5,0.24
,1.58e-5,0.24
O95067,1.74e-5,0.70
P00367,1.76e-5,0.38
Q969T4,1.78e-5,0.22
O43286,1.87e-5,0.33
P49406,1.97e-5,0.22
P53794,1.98e-5,0.49
Q96D46,2.03e-5,0.25
Q96PC3,2.08e-5,0.69
Q9UQN3,2.11e-5,0.18
Q9NXK6,2.15e-5,0.70
P41231,2.19e-5,0.64
Q9H8V3,2.24e-5,0.45
Q9ULV0,2.26e-5,0.45
P53582,2.28e-5,0.21
P62256,2.33e-5,0.17
Q86YC2,2.35e-5,0.22
O43683,2.37e-5,0.76
Q13443,2.52e-5,0.19
Q53EZ4,2.66e-5,0.74
Q9ULW0,2.68e-5,0.70
O43663,2.76e-5,0.52
Q9H2G2,2.77e-5,0.25
Q86SQ4,2.78e-5,0.63
Q9H900,2.90e-5,0.56
Q6P4F7,2.92e-5,0.68
P13987,2.92e-5,0.19
O75635,3.03e-5,0.90
Q08050,3.03e-5,0.68
Q5H9U9,3.04e-5,0.56
P62330,3.10e-5,0.27
O14867,3.11e-5,0.38
O15020,3.14e-5,0.61
O60678,3.17e-5,0.32
Q9NTQ9,3.24e-5,0.89
O15231,3.30e-5,0.55
Q9NYL9,3.38e-5,0.38
Q9Y448,3.43e-5,0.46
Q02241,3.69e-5,0.69
O75330,3.71e-5,0.72
P11388,3.83e-5,0.69
P42338,3.99e-5,0.31
Q99985,4.08e-5,0.36
Q9NTJ3,4.20e-5,0.49
P27144,4.34e-5,0.52
P11166,4.39e-5,0.52
Q8NEM2,4.47e-5,0.75
Q96T88,4.52e-5,0.79
P63000,4.57e-5,0.14
Q6ZV73,4.62e-5,0.43
Q9H4H8,4.73e-5,0.65
Q9NZS9,4.74e-5,0.18
Q96GX5,4.81e-5,0.46
Q14126,4.94e-5,0.49
P50616,5.04e-5,0.23
P14618,5.17e-5,0.31
Q9BUL8,5.22e-5,0.15
Q9NWW9,5.27e-5,0.85
,5.27e-5,0.26
O00401,5.30e-5,0.17
Q9HAU0,5.41e-5,0.33
Q8TCS8,5.44e-5,0.27
O96019,5.44e-5,0.25
Q9Y5K6,5.53e-5,0.33
O43653,5.60e-5,0.79
P46940,5.67e-5,0.17
Q8IZ96,5.68e-5,0.80
P32456,5.73e-5,0.27
Q9NQS7,5.76e-5,0.48
Q96SL1,5.81e-5,0.41
P26006,5.95e-5,0.35
Q9P0J7,6.10e-5,0.26
O14936,6.11e-5,0.30
Q9UBC9,6.27e-5,0.78
O43240,6.46e-5,0.75
Q96SB4,6.53e-5,0.28
O14944,6.57e-5,0.85
P01130,6.60e-5,0.38
Q9Y4A8,6.62e-5,0.66
Q9Y221,6.69e-5,0.24
Q9H706,6.73e-5,0.53
Q9C0B5,6.74e-5,0.18
P08727,6.82e-5,0.41
Q13253,6.86e-5,0.79
A6NJI1,6.97e-5,0.95
Q96CF2,6.99e-5,0.49
Q9BZF9,7.01e-5,0.38
Q6P9B6,7.05e-5,0.37
Q13753,7.11e-5,0.51
O43283,7.27e-5,0.26
Q9Y6M1,7.37e-5,0.42
P61026,7.37e-5,0.28
Q3MHD2,7.49e-5,0.16
O75712,7.56e-5,0.79
P22528,7.64e-5,0.81
Q9BPX3,7.65e-5,0.77
Q8NCD3,7.72e-5,0.80
P08729,7.78e-5,0.60
P68402,7.79e-5,0.21
O60610,7.81e-5,0.32
Q9GZZ1,7.92e-5,0.34
O14684,7.97e-5,0.49
Q92968,8.07e-5,0.27
O14625,8.18e-5,0.64
O43255,8.21e-5,0.30
Q9P206,8.25e-5,0.37
Q6PIU2,8.25e-5,0.37
Q9NYT0,8.26e-5,0.56
Q5K651,8.31e-5,0.59
P15514,8.32e-5,0.58
O60313,8.44e-5,0.31
O75369,8.45e-5,0.24
Q96EK6,8.52e-5,0.45
P32320,8.56e-5,0.62
P52799,8.70e-5,0.32
P36871,8.74e-5,0.48
Q53EP0,9.06e-5,0.27
P16333,9.14e-5,0.20
Q13188,9.21e-5,0.21
Q9NSE4,9.24e-5,0.18
P15407,9.26e-5,0.54
P20810,9.27e-5,0.21
O43482,9.34e-5,0.74
P41212,9.38e-5,0.39
P46013,9.47e-5,0.79
Q7L7V1,9.49e-5,0.19
Q6Y1H2,9.59e-5,0.33
Q6YFQ2,9.70e-5,0.89
O00220,1.00e-4,0.45
Q13506,1.01e-4,0.23
Q15003,1.02e-4,0.73
P13646,1.02e-4,0.73
O15327,1.03e-4,0.45
P35321,1.03e-4,0.79
P49915,1.04e-4,0.35
Q6DD88,1.04e-4,0.21
Q9BQ13,1.05e-4,0.49
Q86VP1,1.06e-4,0.09
P13726,1.07e-4,0.24
Q9Y2G3,1.09e-4,0.30
O60259,1.10e-4,0.80
P16403,1.12e-4,0.30
Q8WVD5,1.14e-4,0.31
O60487,1.14e-4,0.47
P49862,1.16e-4,0.80
Q9UGU5,1.16e-4,0.36
Q9Y580,1.17e-4,0.33
Q9BTT6,1.18e-4,0.32
Q6P179,1.20e-4,0.44
P51636,1.21e-4,0.37
Q96Q89,1.21e-4,0.62
P41743,1.22e-4,0.34
O95758,1.22e-4,0.28
O14668,1.22e-4,0.57
Q8NBT2,1.22e-4,0.66
Q13021,1.23e-4,0.55
O95171,1.24e-4,0.81
Q6UW10,1.26e-4,0.86
O94907,1.27e-4,0.73
P12429,1.28e-4,0.48
Q9NYZ3,1.29e-4,0.79
Q96EN8,1.29e-4,0.67
P49450,1.30e-4,0.83
Q86XI6,1.31e-4,0.48
Q9NPH3,1.31e-4,0.68
P00749,1.32e-4,0.45
Q9Y315,1.32e-4,0.34
Q6NUK4,1.32e-4,0.22
Q12834,1.32e-4,0.65
Q15468,1.33e-4,0.64
P58335,1.33e-4,0.35
P01111,1.36e-4,0.36
P49454,1.39e-4,0.78
Q08945,1.40e-4,0.18
P18084,1.40e-4,0.21
Q9NZM1,1.40e-4,0.33
Q9NRJ3,1.43e-4,0.74
P08047,1.43e-4,0.15
Q6UXL0,1.44e-4,0.82
P35606,1.45e-4,0.12
Q9H5V8,1.48e-4,0.58
Q92734,1.50e-4,0.13
P43490,1.51e-4,0.28
Q03519,1.51e-4,0.33
P05787,1.51e-4,0.42
P98194,1.52e-4,0.21
Q96PD2,1.52e-4,0.30
Q9NZU0,1.54e-4,0.53
Q9NS71,1.54e-4,0.93
O95377,1.54e-4,0.79
P21926,1.59e-4,0.23
Q96B96,1.59e-4,0.38
Q9H7F0,1.60e-4,0.35
Q96T23,1.61e-4,0.17
P31350,1.62e-4,0.71
Q9NY97,1.62e-4,0.35
Q6P4A8,1.66e-4,0.49
Q8IV31,1.66e-4,0.62
Q53LP3,1.66e-4,0.44
Q96J88,1.66e-4,0.44
P11234,1.67e-4,0.36
Q68G75,1.70e-4,0.89
Q5XXA6,1.70e-4,0.47
P15311,1.70e-4,0.25
Q9H1C4,1.73e-4,0.45
Q8NBM4,1.73e-4,0.18
Q12797,1.75e-4,0.29
Q8NBT0,1.76e-4,0.61
Q8N9L9,1.77e-4,0.66
P05783,1.78e-4,0.32
O60566,1.79e-4,0.77
Q86SJ2,1.80e-4,0.36
Q99645,1.85e-4,0.95
Q9UMD9,1.86e-4,0.72
P61009,1.87e-4,0.24
O94876,1.87e-4,0.39
Q92547,1.88e-4,0.39
P61221,1.88e-4,0.15
O95235,1.90e-4,0.75
O14672,1.90e-4,0.29
Q8NBJ5,1.92e-4,0.24
P24385,1.96e-4,0.31
Q13882,1.96e-4,0.75
Q9NVP2,1.98e-4,0.73
Q15262,1.99e-4,0.27
Q5VZF2,1.99e-4,0.22
Q8IUS5,2.00e-4,0.81
Q8N9N2,2.00e-4,0.21
P25815,2.00e-4,0.67
Q05209,2.01e-4,0.17
P46937,2.03e-4,0.21
O75054,2.03e-4,0.47
Q96FQ6,2.04e-4,0.43
Q86TB9,2.04e-4,0.29
P29034,2.04e-4,0.69
Q6NXG1,2.05e-4,0.52
P19525,2.08e-4,0.36
Q71F23,2.09e-4,0.72
P53985,2.10e-4,0.34
O60879,2.12e-4,0.33
Q8N1L9,2.12e-4,0.51
O00194,2.13e-4,0.67
Q8WUX1,2.13e-4,0.66
Q86Y91,2.16e-4,0.79
Q9Y2A9,2.16e-4,0.71
O95243,2.18e-4,0.27
P22102,2.19e-4,0.17
Q9BTE3,2.20e-4,0.15
P42830,2.23e-4,0.81
P20340,2.24e-4,0.17
O43187,2.26e-4,0.53
Q96HE7,2.27e-4,0.44
P53801,2.28e-4,0.10
Q15678,2.29e-4,0.42
P37088,2.30e-4,0.49
P52732,2.30e-4,0.72
Q9Y3E0,2.32e-4,0.18
O75608,2.34e-4,0.22
P33991,2.38e-4,0.44
Q8IZT6,2.40e-4,0.86
Q09666,2.42e-4,0.24
P62070,2.44e-4,0.21
P07947,2.46e-4,0.28
P84022,2.48e-4,0.24
P17655,2.50e-4,0.18
Q9Y371,2.53e-4,0.25
P13805,2.53e-4,0.79
Q6P1N9,2.53e-4,0.22
P33981,2.54e-4,0.79
Q8N392,2.54e-4,0.30
Q13887,2.55e-4,0.47
Q13751,2.55e-4,0.47
Q86W92,2.56e-4,0.26
Q68D10,2.59e-4,0.41
Q03112,2.59e-4,0.50
O14744,2.61e-4,0.16
P06737,2.63e-4,0.38
Q8N131,2.66e-4,0.25
Q96NE9,2.66e-4,0.30
P13928,2.68e-4,0.72
Q14534,2.73e-4,0.32
Q9BPW9,2.73e-4,0.66
Q9H3L0,2.73e-4,0.18
P78556,2.73e-4,0.68
P18206,2.75e-4,0.25
Q9NX09,2.78e-4,0.25
P13674,2.85e-4,0.31
Q86VQ6,2.86e-4,0.47
O60911,2.87e-4,0.78
Q8WUA8,2.87e-4,0.41
Q9UQR1,2.88e-4,0.30
Q8TE77,2.89e-4,0.30
Q8N271,2.90e-4,0.58
Q99741,2.90e-4,0.66
Q9BQ69,2.90e-4,0.54
P29033,2.90e-4,0.72
Q9NX02,2.91e-4,0.55
P21980,2.97e-4,0.35
O95365,2.99e-4,0.30
Q2PZI1,2.99e-4,0.32
Q96R06,3.02e-4,0.63
P00973,3.02e-4,0.43
O60716,3.02e-4,0.23
Q13489,3.03e-4,0.52
P58546,3.05e-4,0.20
Q92541,3.05e-4,0.19
P67936,3.07e-4,0.21
Q9H190,3.07e-4,0.52
O15455,3.09e-4,0.37
P50613,3.09e-4,0.26
Q9NR30,3.12e-4,0.29
Q9BXB5,3.14e-4,0.39
Q9NRS4,3.14e-4,0.75
Q9UHF7,3.16e-4,0.54
P29508,3.19e-4,0.84
Q96MW1,3.19e-4,0.41
Q9ULF5,3.23e-4,0.50
Q8NFH8,3.24e-4,0.45
Q9P227,3.24e-4,0.39
Q9ULJ7,3.28e-4,0.34
P29590,3.29e-4,0.25
Q8IY21,3.35e-4,0.46
Q13177,3.36e-4,0.19
P50135,3.41e-4,0.38
Q13113,3.45e-4,0.63
,3.47e-4,0.45
P57078,3.48e-4,0.62
O75747,3.50e-4,0.75
P62633,3.51e-4,0.21
Q8WWI1,3.51e-4,0.42
Q8N1P7,3.53e-4,0.82
Q8WU17,3.54e-4,0.37
Q9Y324,3.54e-4,0.14
Q13287,3.54e-4,0.37
Q9H0U3,3.55e-4,0.28
Q16610,3.55e-4,0.56
Q9BTX1,3.58e-4,0.34
P01116,3.59e-4,0.23
Q9NVI1,3.59e-4,0.59
Q13614,3.60e-4,0.27
Q08174,3.61e-4,0.36
P06753,3.65e-4,0.46
Q7L5A8,3.74e-4,0.75
Q8N4X5,3.76e-4,0.49
Q8IX90,3.77e-4,0.84
Q8N945,3.78e-4,0.60
Q9Y2A7,3.81e-4,0.14
Q08209,3.82e-4,0.44
Q8IWT6,3.83e-4,0.25
Q9NPG3,3.84e-4,0.31
Q5BVD1,3.85e-4,0.67
Q8N573,3.85e-4,0.23
Q02388,3.86e-4,0.66
P60903,3.88e-4,0.28
Q8IZL2,3.89e-4,0.28
P30043,3.90e-4,0.34
Q9Y446,3.93e-4,0.67
P58107,3.94e-4,0.81
Q16204,3.95e-4,0.18
Q969L2,3.98e-4,0.45
Q13185,4.00e-4,0.18
P30408,4.01e-4,0.26
P08254,4.09e-4,0.79
O14730,4.10e-4,0.38
P53350,4.12e-4,0.68
Q8IV01,4.13e-4,0.81
Q9UBX7,4.17e-4,0.62
Q01094,4.18e-4,0.68
Q96L33,4.19e-4,0.73
P31431,4.20e-4,0.31
O60934,4.20e-4,0.16
Q9BW19,4.21e-4,0.72
Q969X1,4.22e-4,0.17
P42224,4.23e-4,0.28
P98172,4.29e-4,0.29
P07384,4.30e-4,0.29
Q496Y0,4.32e-4,0.53
P05187,4.33e-4,0.94
Q15012,4.37e-4,0.11
P62491,4.37e-4,0.18
Q9BTV4,4.38e-4,0.20
Q0VAQ4,4.38e-4,0.47
O75815,4.38e-4,0.31
P18077,4.43e-4,0.14
Q14134,4.46e-4,0.69
Q9HAW8,4.55e-4,0.89
O15554,4.56e-4,0.67
Q14680,4.58e-4,0.75
P13797,4.59e-4,0.25
Q8WWY8,4.59e-4,0.68
P15941,4.60e-4,0.53
Q9P003,4.61e-4,0.16
P02778,4.61e-4,0.57
P51149,4.63e-4,0.16
Q6UXB2,4.63e-4,0.76
P43246,4.63e-4,0.33
P29728,4.63e-4,0.49
Q86Y07,4.65e-4,0.20
O15145,4.67e-4,0.21
Q9UNH7,4.68e-4,0.18
O43150,4.68e-4,0.41
Q9Y597,4.71e-4,0.24
Q96HV5,4.72e-4,0.26
P52298,4.75e-4,0.10
Q9NQT8,4.77e-4,0.55
Q9H074,4.79e-4,0.18
Q14651,4.84e-4,0.66
O14933,4.88e-4,0.19
Q5T0Z8,4.90e-4,0.68
P05198,4.97e-4,0.19
Q6UWV2,4.98e-4,0.53
P22760,5.02e-4,0.84
Q9H967,5.02e-4,0.58
Q14512,5.03e-4,0.81
Q9GZP8,5.05e-4,0.54
P06756,5.07e-4,0.24
O00444,5.14e-4,0.72
O95832,5.23e-4,0.53
P49643,5.25e-4,0.48
P28221,5.30e-4,0.91
Q8NEF9,5.31e-4,0.22
Q13261,5.35e-4,0.38
O00219,5.36e-4,0.72
Q86UE4,5.36e-4,0.20
Q9NRG0,5.43e-4,0.19
P48594,5.48e-4,0.87
Q96A54,5.50e-4,0.20
Q9H9Y6,5.52e-4,0.26
Q8IZF3,5.52e-4,0.84
O95084,5.56e-4,0.35
Q9NP50,5.57e-4,0.26
P19256,5.60e-4,0.34
Q14691,5.62e-4,0.65
O43707,5.65e-4,0.18
Q96IF1,5.67e-4,0.49
A0FGR8,5.73e-4,0.13
Q13206,5.75e-4,0.25
O95630,5.79e-4,0.33
P48729,5.79e-4,0.20
Q9Y6E0,5.81e-4,0.21
P20800,5.81e-4,0.70
Q9Y2H1,5.82e-4,0.28
Q9NYK5,5.84e-4,0.23
O95279,5.85e-4,0.55
Q07817,5.87e-4,0.17
Q7Z6J6,5.89e-4,0.84
P81274,5.89e-4,0.47
P10451,5.89e-4,0.55
Q99683,5.91e-4,0.46
P60022,5.94e-4,0.64
P31944,5.96e-4,0.93
Q8IWA5,6.01e-4,0.20
Q70J99,6.01e-4,0.46
P31947,6.01e-4,0.69
Q9NUV7,6.02e-4,0.41
P43353,6.07e-4,0.46
Q8NEN9,6.10e-4,0.48
O14965,6.13e-4,0.59
P61024,6.13e-4,0.25
Q5VYY1,6.15e-4,0.72
Q9BUP3,6.18e-4,0.31
Q96HE9,6.18e-4,0.70
Q96A65,6.19e-4,0.26
Q6ISB3,6.27e-4,0.58
Q12882,6.27e-4,0.40
Q9BXS6,6.27e-4,0.72
P11233,6.30e-4,0.22
Q9NVA4,6.37e-4,0.44
P16144,6.39e-4,0.40
P54819,6.40e-4,0.16
Q99685,6.41e-4,0.34
Q5VYY2,6.47e-4,0.95
Q15583,6.47e-4,0.22
Q9UJ37,6.48e-4,0.54
E7ERA6,6.53e-4,0.86
P14868,6.54e-4,0.18
Q5W0Z9,6.55e-4,0.30
Q96KB5,6.56e-4,0.80
Q6PH81,6.57e-4,0.44
Q3MIW9,6.58e-4,0.95
Q9BQL6,6.60e-4,0.66
Q13492,6.61e-4,0.13
A7KAX9,6.64e-4,0.37
Q13421,6.66e-4,0.71
Q9BXL8,6.67e-4,0.60
Q9H816,6.70e-4,0.43
Q9P270,6.71e-4,0.32
Q8N4G2,6.71e-4,0.87
Q8NI37,6.76e-4,0.42
Q96C90,6.77e-4,0.26
P01229,6.78e-4,0.92
Q96DX8,6.83e-4,0.41
P33552,6.85e-4,0.43
P18510,6.85e-4,0.66
Q99661,6.86e-4,0.75
Q96AG4,6.87e-4,0.23
Q56VL3,6.89e-4,0.37
P19957,6.89e-4,0.72
Q14451,6.90e-4,0.51
O00762,6.91e-4,0.66
Q96RS6,6.94e-4,0.28
Q9NZC4,6.94e-4,0.55
P11586,6.96e-4,0.49
Q9UGL9,7.03e-4,0.86
P26583,7.04e-4,0.45
Q99075,7.09e-4,0.41
O75940,7.20e-4,0.24
Q5JPH6,7.20e-4,0.37
Q5GH70,7.20e-4,0.77
P09131,7.22e-4,0.22
Q96E39,7.26e-4,0.26
Q08623,7.27e-4,0.33
O00180,7.29e-4,0.52
P51114,7.30e-4,0.44
Q8TB03,7.30e-4,0.28
P35249,7.38e-4,0.36
Q9Y3E7,7.39e-4,0.13
Q9NUQ6,7.43e-4,0.23
P61981,7.44e-4,0.32
P54849,7.46e-4,0.45
Q16667,7.46e-4,0.71
Q9BZ95,7.48e-4,0.25
P20809,7.50e-4,0.69
Q9UJA3,7.50e-4,0.47
O43194,7.50e-4,0.65
Q9BYT8,7.51e-4,0.48
Q5T0W9,7.60e-4,0.74
Q5T5P2,7.63e-4,0.40
P37287,7.64e-4,0.43
Q7Z402,7.64e-4,0.71
Q86SF2,7.65e-4,0.41
Q96BN6,7.81e-4,0.22
Q92876,7.82e-4,0.82
O43623,7.83e-4,0.36
Q9H4L5,7.88e-4,0.42
Q8TAA9,7.89e-4,0.36
Q12965,7.99e-4,0.23
P35221,8.02e-4,0.13
P53618,8.04e-4,0.09
Q8NCN4,8.04e-4,0.35
Q03701,8.13e-4,0.17
P28290,8.19e-4,0.32
Q13136,8.26e-4,0.17
Q7Z628,8.27e-4,0.22
Q8IYW5,8.31e-4,0.35
Q53HL2,8.32e-4,0.70
Q9Y376,8.33e-4,0.30
P00558,8.34e-4,0.23
O00116,8.35e-4,0.21
O75165,8.36e-4,0.14
Q9BYG5,8.38e-4,0.57
P22223,8.43e-4,0.62
Q7Z5S9,8.48e-4,0.60
Q86XI2,8.50e-4,0.52
Q05195,8.50e-4,0.53
Q9BW60,8.51e-4,0.33
Q16589,8.57e-4,0.28
P61086,8.60e-4,0.21
P17096,8.71e-4,0.34
O14503,8.74e-4,0.23
Q9UNX4,8.82e-4,0.23
Q9BTP6,8.83e-4,0.84
O94919,8.86e-4,0.27
Q9Y3B4,8.92e-4,0.16
O15042,8.92e-4,0.24
O75419,8.94e-4,0.76
Q8TDB6,8.99e-4,0.30
P62807,9.01e-4,0.45
P30626,9.03e-4,0.31
Q9Y4K0,9.05e-4,0.46
Q96RN5,9.09e-4,0.21
Q01658,9.11e-4,0.24
Q6ZNC8,9.15e-4,0.36
Q9NVT9,9.15e-4,0.13
P04626,9.17e-4,0.26
Q8TCG1,9.18e-4,0.62
Q15646,9.20e-4,0.70
Q96RP9,9.20e-4,0.23
O75717,9.24e-4,0.59
Q9HBI6,9.28e-4,0.73
O14681,9.28e-4,0.34
A6NI28,9.29e-4,0.52
Q9H4G0,9.30e-4,0.30
Q8IZH2,9.43e-4,0.28
P50591,9.43e-4,0.30
Q04721,9.48e-4,0.18
Q9HB63,9.50e-4,0.41
P02795,9.52e-4,0.29
O15438,9.57e-4,0.65
Q52LW3,9.63e-4,0.33
O14950,9.69e-4,0.10
P14866,9.69e-4,0.14
Q9UN76,9.74e-4,0.81
Q8WU90,9.75e-4,0.23
Q9BZD4,9.75e-4,0.78
O75496,9.77e-4,0.48
Q9BZF1,9.79e-4,0.22
P09038,9.85e-4,0.44
Q8N9U0,9.86e-4,0.52
Q13464,9.93e-4,0.43
Q8IWS0,9.96e-4,0.34
